Time [s],Value,Parity Error,Framing Error
1.081410000000000,0xC4,Error,
1.082565000000000,0xAD,Error,Error
1.083675000000000,0xFD,Error,
1.090220000000000,0xFF,,
1.091415000000000,0xFF,,
1.092605000000000,0xFF,,
1.094325000000000,0xFF,,
1.098140000000000,0xFF,,
1.099660000000000,0xFF,,
1.104185000000000,0xFF,,
1.110905000000000,0xFF,,
1.112280000000000,0xFF,,
1.114410000000000,0xFF,,
1.116415000000000,0xFF,,
1.119850000000000,0xA9,,Error
1.120950000000000,0x56,Error,Error
1.122075000000000,0xE9,Error,Error
1.123220000000000,0xFE,Error,
1.127870000000000,0xFF,,
1.130650000000000,0xFF,,
1.132120000000000,0xFF,,
1.133710000000000,0xFF,,
1.136545000000000,0xFF,,
1.137910000000000,0xFF,,
1.139120000000000,0xEF,,Error
1.140285000000000,0x03,,Error
1.141400000000000,0x85,,
1.142615000000000,0xAF,,
1.143880000000000,0xFF,,
1.150940000000000,0xFF,,
1.154775000000000,0xFF,,
1.155900000000000,0xFF,,
1.157060000000000,0xFF,,
1.160900000000000,0xFF,,
1.164490000000000,0xFF,,
1.170390000000000,0xFF,,
1.173685000000000,0xFF,,
1.175265000000000,0xFF,,
1.177870000000000,0xFF,,Error
1.179670000000000,0x89,,Error
1.180915000000000,0x47,Error,
1.182010000000000,0x4B,,Error
1.183310000000000,0xFB,Error,
1.184715000000000,0xFF,,
1.187790000000000,0xFF,,
1.190940000000000,0xFF,,
1.193160000000000,0xFF,,
1.194455000000000,0xFF,,
1.201395000000000,0xFF,,
1.202595000000000,0xF9,,
1.203715000000000,0xFD,Error,
1.214005000000000,0xFF,,
1.219295000000000,0x7F,Error,
1.220605000000000,0xB0,,Error
1.221750000000000,0x50,,
1.223130000000000,0xEC,Error,
1.224230000000000,0xFF,,
1.229935000000000,0xFF,,
1.233600000000000,0xFF,,
1.237885000000000,0xFF,,
1.239010000000000,0x7F,,
1.240115000000000,0x2B,Error,
1.241385000000000,0xA1,Error,Error
1.242570000000000,0x6A,,Error
1.243705000000000,0xF7,Error,
1.244995000000000,0xFF,,
1.249940000000000,0xFF,,
1.252195000000000,0xFF,,
1.253855000000000,0xFE,Error,
1.258805000000000,0x7F,Error,Error
1.259985000000000,0x10,,Error
1.261095000000000,0x09,Error,
1.262190000000000,0x85,,Error
1.263355000000000,0xEB,,
1.264460000000000,0xBD,,Error
1.265565000000000,0xFF,Error,
1.267240000000000,0xFF,,
1.268590000000000,0xFE,Error,
1.271815000000000,0xFF,,
1.273895000000000,0xFF,,
1.275005000000000,0xFC,Error,
1.277020000000000,0xFF,,
1.279100000000000,0x4F,Error,Error
1.280215000000000,0xDF,,
1.281385000000000,0x35,,Error
1.282575000000000,0x62,Error,Error
1.283725000000000,0xFF,,Error
1.285005000000000,0xFB,Error,
1.286380000000000,0xFF,,
1.287820000000000,0xDF,Error,
1.289500000000000,0xFF,,Error
1.291580000000000,0xFF,Error,Error
1.293660000000000,0xFF,,Error
1.294765000000000,0xFF,Error,
1.296360000000000,0xF7,Error,
1.297760000000000,0xFF,,
1.298865000000000,0x79,Error,
1.299960000000000,0x9D,,
1.301150000000000,0x08,Error,Error
1.302295000000000,0x00,Error,
1.303425000000000,0xFD,Error,
1.304765000000000,0xFF,,
1.311930000000000,0xFF,,
1.313975000000000,0xFF,,
1.317390000000000,0xFF,,
1.319910000000000,0xFF,,
1.323445000000000,0xFF,,
1.330760000000000,0xFF,,
1.332660000000000,0xFF,,
1.334355000000000,0xFF,,
1.336385000000000,0xFF,,
1.337665000000000,0xFF,,
1.339265000000000,0xD7,Error,
1.340385000000000,0x29,,Error
