Time [s],Value,Parity Error,Framing Error
0.365920000000000,0xFF,,
0.367015000000000,0xFF,,
0.368820000000000,0xFD,Error,
0.370095000000000,0xFF,,Error
0.371220000000000,0xFF,,
0.372930000000000,0xFB,Error,
0.374255000000000,0xFF,,Error
0.375865000000000,0xEF,Error,
0.377380000000000,0xFF,,Error
0.378715000000000,0xA1,,Error
0.379935000000000,0x00,,Error
0.381045000000000,0x00,Error,Error
0.382180000000000,0x00,Error,
0.383275000000000,0xC0,Error,Error
0.384390000000000,0xC1,Error,
0.386000000000000,0xBD,,
0.387095000000000,0xC1,,Error
0.388290000000000,0x77,,
0.389435000000000,0xB7,,
0.390680000000000,0x6F,,Error
0.391830000000000,0xB4,Error,Error
0.392955000000000,0x02,,Error
0.394060000000000,0x02,,Error
0.395530000000000,0x00,Error,Error
0.396645000000000,0x0C,Error,
0.397740000000000,0x05,Error,Error
0.398850000000000,0x02,,Error
0.400005000000000,0x00,,Error
0.401175000000000,0x84,Error,
0.402355000000000,0x8A,Error,Error
0.403490000000000,0xD7,,
0.404735000000000,0xAF,Error,Error
0.406245000000000,0xFD,Error,Error
0.407385000000000,0xF2,,
0.408745000000000,0xDF,Error,
0.410410000000000,0xFF,,Error
0.411535000000000,0x95,Error,
0.413530000000000,0xFF,,Error
0.414650000000000,0xFF,Error,
0.415765000000000,0x7F,,
0.416935000000000,0xA7,,
0.418105000000000,0xDD,,Error
0.419355000000000,0x42,,Error
0.420465000000000,0x08,,Error
0.421585000000000,0x08,Error,Error
0.422695000000000,0xBD,,
0.423930000000000,0xFF,,Error
0.425040000000000,0xFF,Error,
0.427055000000000,0xFF,,Error
0.428180000000000,0x7F,,
0.429695000000000,0xFF,,
0.431220000000000,0xFF,,Error
0.432340000000000,0xFF,Error,
0.433515000000000,0x7F,Error,
0.435375000000000,0xF9,,Error
0.436800000000000,0xDF,Error,
0.438290000000000,0x0C,Error,Error
0.439460000000000,0x00,Error,Error
0.440670000000000,0x10,,
0.441765000000000,0x52,Error,
0.442885000000000,0xEB,,Error
0.444220000000000,0xBF,Error,
0.446340000000000,0xFF,,
0.447690000000000,0xBF,Error,
0.448835000000000,0xFD,Error,
0.450190000000000,0x0B,Error,
0.451545000000000,0xE7,,
0.452640000000000,0x58,Error,
0.453735000000000,0xA1,,
0.454855000000000,0x31,,Error
0.456390000000000,0x01,,Error
0.457530000000000,0xDE,Error,
0.458650000000000,0x81,Error,Error
0.459750000000000,0x00,,Error
0.460870000000000,0x00,,Error
0.462030000000000,0x85,Error,
0.463130000000000,0xFB,Error,
0.464225000000000,0xDD,,Error
0.465935000000000,0xFF,,
0.468005000000000,0xFF,,
0.470095000000000,0xFF,,
0.472160000000000,0xFF,,
0.473560000000000,0xFF,,Error
0.475225000000000,0xFF,,
0.476330000000000,0xFF,,
0.477900000000000,0xFF,,
0.479170000000000,0x2F,,Error
0.480365000000000,0x0A,Error,
0.481475000000000,0x97,Error,
0.482570000000000,0x5A,,Error
0.484605000000000,0xFF,,
0.486685000000000,0xFF,,Error
0.488770000000000,0xEB,,Error
0.489885000000000,0x95,Error,Error
0.491005000000000,0x7B,Error,Error
0.492125000000000,0xD0,,
0.493225000000000,0x02,,Error
0.494350000000000,0xA1,,Error
0.496375000000000,0xDD,,Error
0.497730000000000,0x80,,
0.499080000000000,0x17,Error,
0.500180000000000,0x09,Error,Error
0.501295000000000,0xC2,Error,
0.502390000000000,0x0D,Error,Error
0.503530000000000,0x00,Error,Error
0.504645000000000,0x04,,Error
0.505800000000000,0x00,Error,Error
0.506900000000000,0x06,Error,
0.508025000000000,0x83,,Error
0.509140000000000,0x20,,
